9726,448,281,26,35
9768,441,242,13,33
9810,430,268,19,34
9852,445,268,23,30
9894,466,248,15,27
9936,485,278,42,47
9978,461,270,116,111
10021,433,292,131,129
10063,475,259,87,108
10105,462,301,9,53
10147,451,232,23,36
10189,460,236,6,21
10232,441,130,7,27
10274,428,200,11,27
10316,431,87,8,60
10358,447,188,11,41
10400,475,256,0,45
10442,461,209,93,75
10484,466,151,36,50
10527,476,68,32,55
10569,478,197,7,32
10611,477,171,22,41
10653,474,168,36,35
10695,466,210,59,52
10737,467,183,8,39
10779,472,220,43,40
10822,480,84,59,50
10864,492,181,13,41
10906,495,218,8,31
10948,497,97,52,54
10990,494,6,6,38
11032,501,80,7,31
11074,518,81,7,27
11116,575,219,75,67
11158,544,55,96,88
11201,531,182,112,119
11243,534,155,91,100
11285,542,184,104,110
11327,547,153,110,114
11370,548,136,109,115
11412,551,79,27,66
11454,563,6,6,26
11496,570,200,47,55
11538,565,117,83,79
11580,569,144,7,51
11622,578,7,13,38
11665,593,7,7,29
11707,644,6,0,31
11749,739,9,8,29
11791,725,6,6,28
11833,729,6,91,77
11875,703,7,84,74
11917,692,71,18,63
11959,693,84,75,78
12001,749,46,67,78
12043,795,0,101,90
12085,807,76,58,72
12127,841,7,7,42
12169,833,7,7,31
12211,820,5,6,28
12253,949,51,10,26
12296,672,21,14,35
12338,676,357,146,114
12380,687,343,175,151
12422,646,125,198,178
12464,636,131,195,187
12507,631,53,100,131
12549,629,84,6,62
12591,634,32,6,41
12633,663,103,7,33
12675,650,21,0,37
12717,653,49,6,30
12759,659,107,7,27
12801,684,114,0,34
12844,674,0,21,30
12886,669,5,149,114
12928,689,6,26,78
12969,692,122,62,74
13011,700,6,15,49
13053,719,4,179,32
13095,708,68,47,48
13137,740,253,15,39
13180,735,208,7,29
13222,735,68,7,27
13264,735,5,5,26
13306,1163,15,7,25
13348,1147,7,7,17
13390,1175,66,6,27
13432,-30547,11,42,46
13474,1130,0,30,38
13516,1103,15,6,30
13559,1046,28,6,27
13601,1051,53,85,71
13643,1018,122,193,151
13685,1001,146,121,128
13727,1014,7,7,61
13770,1037,191,7,39
13812,1024,103,113,91
13854,1037,0,15,47
13896,1036,123,7,35
13938,1037,5,6,29
13980,1036,5,6,27
14022,1046,7,7,24
14064,1040,6,6,27
