9487,2048,677,27,702
9529,2043,680,5,707
9571,2035,673,5,698
9613,2037,679,5,710
9656,2032,683,5,710
9698,2032,687,6,709
9740,2025,683,7,714
9782,2018,680,5,702
9824,2014,684,6,711
9866,2013,688,6,694
9909,2012,683,6,704
9951,2005,687,6,713
9993,2002,686,5,710
10035,1995,699,13,710
10077,1993,683,0,732
10120,1991,683,19,709
10162,1977,669,12,689
10204,1983,676,5,705
10246,1971,697,7,711
10289,1974,684,22,705
10331,1967,683,5,717
10373,1961,682,5,709
10415,1948,683,5,709
10458,1953,688,8,699
10500,1952,680,0,745
10542,1947,681,5,708
10584,1941,678,5,701
10626,1935,680,0,744
10669,1929,680,5,709
10711,1929,682,5,715
10753,1919,675,9,704
10795,1922,680,8,709
10838,1913,700,8,708
10880,1911,707,32,736
10921,1905,712,69,712
10963,1905,685,31,703
11006,1893,684,5,709
11048,1891,696,7,702
11090,1891,684,0,736
11132,1886,682,5,707
11174,1876,682,5,705
11217,1882,684,6,709
11259,1870,684,27,704
11301,1872,679,0,736
11343,1861,672,7,694
11386,1865,677,5,709
11428,1852,694,45,711
11470,1848,687,27,719
11512,1839,680,0,736
11555,1834,677,0,744
11597,1837,682,0,745
11639,1821,676,41,691
11681,1826,681,31,710
11724,1823,705,9,716
11766,1819,687,5,709
11808,1813,684,12,707
11850,1808,688,6,706
11893,1803,687,23,714
11935,1799,669,0,716
11977,1792,676,5,705
12019,1793,680,5,710
12061,1785,678,5,706
12104,1778,687,7,718
12146,1779,682,5,713
12188,1772,681,5,708
12230,1765,670,5,687
12273,1760,698,51,710
12315,1760,683,32,720
12357,1753,676,9,713
12399,1744,681,4,750
12442,1743,682,18,709
12484,1739,699,6,710
12526,1734,679,29,704
12568,1727,677,5,715
12611,1721,679,5,706
12653,1717,704,7,706
12695,1714,726,8,713
12737,1709,690,5,703
12779,1705,689,6,711
12822,1703,678,6,695
12864,1694,684,6,708
12906,1693,687,27,709
12948,1684,680,8,736
12991,1681,680,5,708
13033,1681,677,5,700
13075,1679,686,13,708
13117,1672,671,27,690
13160,1665,676,4,738
13202,1665,681,5,709
13244,1658,681,5,711
13286,1655,688,6,708
13329,1649,683,15,734
13371,1642,681,0,770
13413,1640,665,5,683
13455,1632,673,6,718
13497,1630,687,15,720
13540,1626,685,15,713
13582,1619,679,5,733
13624,1621,685,6,705
13666,1612,683,5,709
13709,1608,671,6,680
13751,1606,683,47,709
13793,1599,681,35,710
13835,1589,678,5,707
13878,1586,682,5,711
13920,1580,688,6,708
13962,1575,687,47,713
14004,1571,663,5,705
14047,1566,674,5,706
14089,1565,678,5,708
14131,1559,684,6,702
14173,1553,682,5,742
14216,1547,682,5,709
14258,1551,681,5,707
14300,1538,667,0,717
14342,1539,683,14,710
14384,1528,676,0,736
14427,1525,687,69,707
14469,1521,706,34,713
14511,1520,682,5,703
14553,1516,690,32,712
14596,1509,672,10,712
14638,1504,675,5,711
14680,1498,678,5,706
14722,1494,680,6,705
14765,1487,700,7,711
14807,1487,680,0,728
14849,1475,681,5,708
14891,1471,666,5,685
14934,1469,683,6,708
14976,1464,681,4,718
15017,1459,681,5,711
15059,1454,680,5,707
15101,1448,680,40,701
15144,1444,698,6,732
15186,1440,667,6,686
15228,1435,678,64,744
15270,1428,683,67,724
15313,1426,678,5,707
15355,1431,694,58,707
15397,1419,707,27,708
15439,1406,686,0,736
15482,1413,667,35,676
15524,1405,674,5,704
15566,1394,680,5,711
15608,1394,679,5,707
15651,1391,682,5,717
15693,1382,681,5,706
15735,1376,682,5,708
15777,1372,682,7,679
15820,1370,677,0,729
15862,1362,680,14,708
15904,1357,676,5,701
15946,1350,683,31,715
15989,1346,698,6,709
16031,1342,688,48,734
16073,1341,664,6,701
16115,1332,675,31,706
16157,1330,680,48,706
16200,1329,704,39,706
16242,1319,701,17,714
16284,1318,681,5,704
16327,1313,685,10,711
16369,1309,670,19,684
16411,1306,677,5,706
16453,1296,696,11,708
16496,1294,681,0,732
16538,1291,681,5,708
16580,1282,678,44,699
16622,1276,680,35,709
16664,1278,668,56,684
